freq,tra_infr,unit,geo\TIME_PERIOD	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MWAY,KM,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 
A,MWAY,KM,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: z	: z	: z	: z	0 	0 	0 s
A,MWAY,KM,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	83 	103 	103 	103 	103 	138 	144 	144 	144 	144 	144 	145 	208 	: 	: 	216 	216 	221 	237 	251 	251 	259 	259 	259 	259 	259 	259 	259 	287 	335 	335 	335 	335 
A,MWAY,KM,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	0 	0 	: 	: 	: 
A,MWAY,KM,NL	975 d	: 	: 	: 	: 	1525 d	: 	: 	: 	1774 	1798 d	1831 	1841 	1884 	1956 	1915 d	1978 	1984 	2045 	2061 	2092 	: 	2134 	: 	: 	2208 	: 	2336 	2225 	2291 	2265 	2499 	2516 	2542 	2585 	2600 	2604 	2582 	2637 	2631 	2646 	2651 	2658 	2666 	2678 	2730 	2756 	2758 	2756 	2790 	2789 	2790 	2793 
A,MWAY,KM,NO	41 	: 	: 	: 	: 	: 	: 	: 	: 	: 	57 	: 	: 	: 	: 	: 	: 	: 	: 	: 	73 	: 	: 	: 	94 	107 	103 	109 	128 	128 	144 	143 	173 	: 	193 	264 	271 	239 	253 	344 	381 	393 	392 	: 	: 	: 	: 	523 	599 	580 	580 	580 	580 
A,MWAY,KM,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	257 	239 	257 	231 	245 	246 	258 	264 	268 	317 	358 	398 	405 	405 	552 	552 	663 	663 	765 	849 	857 	1070 	1365 	1482 	1556 	1559 	1637 	1637 	1637 	1676 	1712 	1761 	1802 
A,MWAY,KM,PT	60 	: 	: 	: 	: 	90 	: 	: 	: 	74 	132 d	132 	169 	169 	195 	196 d	196 	211 	211 	256 	316 	474 	520 d	579 d	587 d	687 d	710 d	797 d	1252 d	1441 d	1482 d	1659 d	1835 d	: 	: 	: 	2545 d	2613 d	2673 d	2705 d	2737 d	2737 d	2988 d	3035 	3065 	3065 	3065 	3065 	3065 	3065 	3065 	3065 	3115 
A,MWAY,KM,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	113 	113 	113 	113 	113 	113 	113 	113 	113 	113 	113 	113 	113 	113 	228 	228 	228 	281 	281 	321 	332 	350 	550 	644 	683 	747 	747 	763 	823 	866 	920 	931 	949 
A,MWAY,KM,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	607 	607 	693 	741 	963 	: 	: 	928 	: 	941 
