freq,unit,tra_infr,geo\TIME_PERIOD	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,KM,RD_COM,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	79363 	: 	: 	81946 	: 	83865 	: 	: 	: 	90766 	91830 	93460 	: 	94778 	: 	: 	103304 	: 	105680 	: 	: 	: 	117669 	118667 	119437 	120447 	118328 	118979 	119489 	120100 	120729 d	121128 d	121412 d	121542 	125230 	125650 	125895 	126025 	126180 	126458 	127173 	128041 	127804 	128315 
A,KM,RD_COM,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	34703 	35177 	35727 	35866 	36373 	37046 	36636 	37033 	37684 	37572 	37022 	36962 	37482 	: 	: 	: 	38234 	38542 	38528 	38467 	38516 	38589 	38732 	38893 	38970 	39041 	39158 	39287 	39406 	39457 	39543 	39715 	39480 	39879 	39879 
A,KM,RD_COM,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	188725 	191061 	192711 	194203 	196311 	198178 	200631 	202852 	206825 	197351 	198350 	203505 	197389 	201992 	203773 	206371 	: c	: c	209333 	210569 	232880 	237244 	238651 	240447 	243810 	246143 	246983 	249136 	251664 	251789 	257204 	256536 	254313 
A,KM,RD_COM,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	56467 	58321 	62528 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KM,RD_COM,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	31166 	31166 	31166 	31166 	31159 	31141 	31054 	30985 	30864 	30622 	27759 	27817 	28190 	28332 	28491 	28460 	28601 	29340 	29843 	30162 	30613 	31639 	31918 	32190 	32585 	32980 	33107 	33296 	33409 	33435 	33793 	33573 	33622 
A,KM,RD_COM,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29278 	29271 	: 	29374 	29346 	: 	: 	30453 	: 	31499 
A,KM,RD_COM,SE	62561 d	62300 d	62709 d	63640 d	64691 d	65171 d	: c	31500 	31500 	31600 	31600 	31600 	31600 	31600 	32000 	32000 	32000 	32000 	32000 	32000 	32000 	32000 	37925 	38618 	38300 	38900 	38500 	38500 	38500 	39523 	39500 	40000 	40280 	40300 	40300 	40300 	41000 	41295 b	41102 	41263 	41473 	41575 	42001 	41907 	42121 	42171 	42291 	42488 	42780 	42805 	43008 	43156 	43352 
A,KM,RD_COM,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9572 	9750 	9791 	9786 	9781 	9791 	9794 	9804 	17653 	18159 	18226 	18338 	18271 	18245 	18278 	18289 	18326 	18371 	18384 	18626 	18773 	18805 	18797 	32030.663 	32040.700 	32050.040 	32090.993 	32078 	32060.890 	32086.510 	32143.070 	32259.201 	32204.449 
A,KM,RD_COM,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10828 	10804 	10758 	10747 	10769 	10718 	10658 	10418.2 	10427 	10393 	10393.7 	10391.4 	10395.5 	10396 	10393.8 	36342.5 	36341 	36344 	36344.2 	36348.3 	35759.3 	35762.3 	35765.6 	35787.100 	35777 	36813.900 	36816.900 	36810.600 	37496.900 	37479.380 	37482.100 	38152 	38144.800 
A,KM,RD_COM,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	320029 	320055 	320001 	320001 	319448 	: 	354642 d	363248 d	364329 d	365171 d	285739 d	285632 d	285632 d	286888 d	288013 d	298405 d	302398 d	305227 	320366 	323043 	170762 	172339 	175429 	179895 	179537 	182500 	187695 	188819 	190383 
A,KM,RD_COM,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	63459 	63425 	63575 	: 	: 
A,KM,RD_COM,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	309700 	311496 	313531 	315147 	316718 	318341 	320052 	322021 	323464 	325333 	326963 d	328899 d	330796 d	333135 b	335506 d	336168 d	336168 d	337494 d	338158 d	360918 d	361651 d	362360 	363104 d	363918 d	364659 d	359991 d	360563 d	366732 d	367317 d	: c	: 	343988.5 d	343992 d	344531 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KM,RD_COM,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: z	: 	: 	: 
A,KM,RD_PRO,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23512 	23474 	19713 	19757 	23472 	23472 	23472 	23472 	23472 	23472 	23065 	23086 	: 	: 	: 	23685 	23685 	23644 	23687 	23652 	23673 	23680 	23654 	23642 	33651 	33652 	33637 	33644 	34025 	34174 	34010 	34018 	33849 	33808 
A,KM,RD_PRO,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	1351 	1362 	1349 	1366 	1369 	1374 	1375 	1372 	1370 	1358 	1360 	1360 	1354 	1353 	1353 	1331 d	1326 	1326 	1326 	1326 	1349 	1349 	1349 	1349 	1349 	1349 	1349 	1349 	1349 	1349 	1349 	1349 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,KM,RD_PRO,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3798 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
