freq,unit,tra_infr,geo\TIME_PERIOD	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,KM,TOTAL,FR	783000 d	: 	: 	: 	: 	774788 d	: 	: 	: 	780000 	797000 d	797000 	796130 	796130 	796130 	796335 d	796257 	801395 	801153 	801192 	801274 	881360 	908243 	908212 	955251 	951097 	960561 	964646 	971064 	975298 	979330 	987014 	984131 	987622 	992000 	: 	1003177 	1016225 	1016749 	1030010 	1038725 	1039105 	1053939 	1070988.648 	1070636.117 	1077519.334 	1090166.024 	1091933.214 	1092181.893 	1092415.816 	1094357.830 	1093429.882 	1090058.962 
A,KM,TOTAL,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20742.200 	21110.400 	21110.400 	40044.100 b	: 
A,KM,TOTAL,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	32505 	26636 	26636 	26626 	26626 	26626 	26610 	27510 	27510 	27627 	27712 	27846 	27731 	27590 	27419 	27420 	27707 	27882 	28049 	28099 d	28089 	28156 	25436 d	25525 	25488 	25396 	25444 	25511 	25380 	25402 	25439 	25096 	25130 
A,KM,TOTAL,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29392 	29625 	29681 	29694 	29738 	29738 	29357 	29415 	29464 	29492 	29533 	29548 	159961 	160215 	: 	: 	: 	: 	197533.8 	196245 	198090.4 	199445.5 	200426.3 	201747.300 	202298.700 	203260.400 	204956.850 	209179.100 	211630.430 	212117.500 	213776.920 	214650.370 	216443.510 
A,KM,TOTAL,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	92263 	92295 	91472 	91451 	91432 	92360 	92570 	95650 	95630 	95627 	95503 	95488 	95485 	95635 	96321 	96259 	96248 	95748 	95599 	95370 	95102 	95102 	95102 	95102 p	95102 	97982 	97982 	97982 	97982 	97982 p	97982 	102187 	102227 
A,KM,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12446 	12484 	12480 	12537 	12411 	12503 	12419 	12340 	12378 	12691 	12689 	12682 	12998 	12955 	12973 	13004 	13028 e	13027 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12898 	12898 	12895 	12900 	12905 	: 
A,KM,TOTAL,IT	280325 d	: 	: 	: 	: 	285540 d	: 	: 	: 	288075 	288562 d	291332 	291085 	291797 	293023 	293754 d	294295 	296472 	296312 	297139 	297710 	297217 	807964 	809701 	827351 	820138 	823470 	828278 	: 	: 	161247 	162050 	163122 	166356 	168820 	226648 	230539 	240395 	242569 	242383 	248018 d	244374 	247004 	249288 	248846 	252073 	249624 	239272 	228124 	228515 	228465 	228863 	: 
A,KM,TOTAL,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	399 	401 	401 	401 	401 	401 	401 	401 	401 	401 	401 	401 	401 	401 	401 	401 	401 	401 	401 	420 	420 	420 	420 	420 	420 
A,KM,TOTAL,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	48364 	48757 	52427 	56299 	61257 	62119 	65808 	68833 	72042 	73233 	75100 	76156 	76760 	78476 	78914 	79080 	79675 	80406 	80721 	81022 	81822 	82602 	83857 	84159 	84725 	84624 	83415 	84003 	85249 	84683 	84369 	84493 	83821 
A,KM,TOTAL,LU	4949 d	: 	: 	: 	: 	4963 d	: 	: 	: 	5079 	5094 d	5094 	5108 	5157 	5157 	5157 d	5208 	5220 	5085 	5091 	5091 	5091 	5108 	5113 	5134 	: 	: 	: 	2748 	2748 	2739 	2737 	2728 	2728 	2730 	2747 	2747 	2747 	2747 	2747 	: 	: 	2899 	2899 	2899 	2908 	2908 	2912 	2914 	2914 	2914 	2909 	2746 
A,KM,TOTAL,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59541 	59525 	60192 	64693 	54992 	56196 	56729 	56990 	57818 	57961 	58566 	60639 	60472 	59434 	59047 	59334 	59180 	59359 	59225 	59432 	58926 	58803 	58566 	58573 	58628 	58243 	58416 	58426 	58443 	58261 	58269 	57458 	57972 
A,KM,TOTAL,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9446 	9432 	9465 	9472 	9488 
A,KM,TOTAL,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8625 	8750 	9038 	9249 	9727 	9759 	9825 
A,KM,TOTAL,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10508 	9659 	9299 	9154 	9161 	9435 	9623 	10465 	11513 	12165 	12522 	12927 	12974 	: 	: 	13278 	13736 	13840 	13922 	13940 	13934 	13983 	14038 	14157 	14199 	14256 	14426 	14410 	14559 	14475 	14477 	14410 	15170 
A,KM,TOTAL,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1593 	: 	1558 	: 	: 	: 	: 	1971 	2170 	2180 	2190 	2254 	2271 	: 	: 	: 	: 	3096.4 e	: 	3096.4 e	2361.4 e	2361.4 	2361.4 	2410 e	2854 e	2854 e	2855.480 e	: 	2855.480 e	2855 e	2855 	2855 	: 
A,KM,TOTAL,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	90751 	: 	: 	93430 	: 	95233 	: 	: 	: 	99941 	101039 	102498 	: 	103683 	: 	: 	111212 	: 	113857 	: 	: 	: 	127948 	129013 	129856 	130799 	126199 u	126795 	127223 	127685 	128283 	128651 	128903 d	128940 d	135533 	135963 	136182 	136368 	136536 	136831 	137654 	138572 	138452 	139027 
A,KM,TOTAL,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	87578 	88174 	88937 	89135 	89744 	90503 	90174 	90618 	91358 	91254 	90741 	90880 	91479 	: 	: 	: 	92513 	92864 	92946 	92869 	93247 	93347 	93509 	93754 	93869 	93985 	94057 	94450 	94642 	94762 	94895 	95164 	94675 	95120 	95120 
A,KM,TOTAL,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	362859 	365108 	366743 	349896 	352310 	372233 	374732 	376784 	380778 	371412 	372725 	377626 	372339 	377289 	379456 	381463 	382615 	383053 	383313 	384104 	406122 	412264 	412035 	413530 	415470 	419636 	420236 	422303 	424564 	424915 	430267 	429816 	427580 
A,KM,TOTAL,PT	18668 e	: 	: 	: 	: 	18665 e	: 	: 	: 	18646 	18642 d	18661 	18680 	18713 	18750 	18619 d	18683 	9746 	9342 	9330 	9514 	: 	65575 	67390 	71619 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10345 d	10289 d	10317 d	10407 d	10386 d	10674 	11296 d	11245 	11245 	11245 	11248 	11248 	11248 	11248 	11260 	11260 	11217 
A,KM,TOTAL,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	68203 	68203 	68194 	68194 	68206 	68110 	68377 	68378 	68475 	68652 	72794 	72811 	73215 	78888 	73358 	73803 	79724 	80612 	81693 	81713 	82054 	83353 	83635 	84243 	84679 	85173 	85333 	85336 	85411 	85525 	85871 	85268 	85387 
A,KM,TOTAL,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	43997 	44406 	44995 	45479 	43276 	: 	: 	43980 	: 	45022 
A,KM,TOTAL,SE	160515 	159784 	159160 	161130 	162103 	162503 	128802 b	128973 	128972 	129215 	129363 	129471 	129518 	129186 	129713 	129830 	129900 	130028 	130143 	130173 	129858 	129759 	135787 	136438 	136231 	136808 	136915 	136562 	136593 	137572 	137673 	138241 	138536 	138567 	138630 	138634 	139317 	211686 b	212242 d	212088 d	212361 d	212549 d	213648 d	212836 	212964 	212972 	212787 	213260 	213559 	197163 	193471 	197840 	197964 
A,KM,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14322 	14501 	14541 	14536 	14533 	14513 	14511 	14553 	36856 	37759 	37866 	35932 	37359 	37228 	37271 	37293 	37346 	37493 	38145 	38146 	38106 	38079 	38023 	37968.607 	37978.640 	37975.619 	38010.904 	37994.792 	37977.690 	38003.300 	38068.120 	38184.423 	38125.059 
A,KM,TOTAL,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17745 	17722 	17682 	17667 	17691 	17670 	17652 	17408 	17421 	17439 	17441.7 	17439.7 	17448.4 	17459.4 d	17464.1 d	43417.1 	43442.1 	43452.3 	43464.8 	43488.2 	42909.5 	42946.9 	42948.2 	42942.500 	42938 	43996 	44007.700 	44013.900 	44701.700 	44714.580 	44450.700 	45114.100 	45106.300 
A,KM,TOTAL,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59128 	59221 	59842 	59770 	379861 	380054 	380226 	380837 	377333 	: 	415732 d	424553 d	425697 d	426662 d	347553 d	347571 d	347396 d	348800 d	350036 d	360624 	365183 	368157 	383621 	386539 	234516 	236617 	240048 	244857 	244711 	247671 	252805 	253813 	255439 
A,KM,TOTAL,UA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	163985 	163973 	164213 	: 	: 
A,KM,TOTAL,UK	344057 d	: 	: 	: 	: 	351457 d	: 	: 	: 	358699 	360292 d	362564 	364180 	365849 	367666 	369076 d	371491 	372983 	375047 	376893 d	378934 d	380993 d	383282 b	384839 d	385557 d	386401 d	386983 d	387893 d	413137 d	414073 d	414835 	415632 d	416469 d	417185 d	412582 d	409309 d	415764 d	416330 d	415961 d	416000.8 d	415953.1 d	415983.1 d	416613.87 	417193.240 e	417367.430 e	417491.240 e	418545.840 	418888.490 	418897 	: 	: 	420780.500 	416461.200 
A,KM,TOTAL,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1934 	1956 	2174 	: 	2294 	2248 
