freq,mot_nrg,regisveh,vehicle,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,TOTAL,TERNAT_REG,MOTO,MIO_VKM,FI	: 	: 	: 	: 	1161 	1161 	1161 	1161 	1161 	1161 
A,TOTAL,TERNAT_REG,MOTO,MIO_VKM,NL	2210 	2166 	2127 	2136 	2153 	2167 	2210 	2526 	: 	2541 
A,TOTAL,TERNAT_REG,MOTO,MIO_VKM,NO	804 e	831 e	888 e	908 e	942 e	964 e	983 e	: 	: 	: 
A,TOTAL,TERNAT_REG,MOTO,MIO_VKM,SE	692 b	694 	664 	713 	670 	668 	652 	693 	654 	664 
A,TOTAL,TERNAT_REG,MOTO_MOP,MIO_VKM,AT	1617 	1662 	2151 	2198 	2231 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,MOTO_MOP,MIO_VKM,CH	1904 	1920 	1937 	1975 	2007 	2043 	2065 	1917 	1973 	1981 
A,TOTAL,TERNAT_REG,MOTO_MOP,MIO_VKM,EE	: 	37.900 e	44 e	48.100 e	54.100 e	56 e	46.600 e	51.400 	57.800 	55 
A,TOTAL,TERNAT_REG,MOTO_MOP,MIO_VKM,ES	1449 	1587 	1535 	3864 	3826 	3683 	3643 	2349.681 	3629 	3507 
A,TOTAL,TERNAT_REG,MOTO_MOP,MIO_VKM,FR	11041 	11076 	11134 	11211 	11273 	11340 	11340 	9583 	9822 	11069.466 
A,TOTAL,TERNAT_REG,MOTO_MOP,MIO_VKM,HR	189 	195 	215 	225 	235 	240 	250 	220 	270 	290 
A,TOTAL,TERNAT_REG,MOTO_MOP,MIO_VKM,HU	405.840 e	407 e	432.990 e	432.920 e	456.160 e	481.610 e	494.020 e	455.640 	464.340 e	480.890 
A,TOTAL,TERNAT_REG,MOTO_MOP,MIO_VKM,IE	: 	103 	102 	104 	108 	109 	114 	101 	111 	114 
A,TOTAL,TERNAT_REG,MOTO_MOP,MIO_VKM,NL	4532 	4516 	4513 	4581 	4690 	4728 	4801 	4924 	: 	5133 
A,TOTAL,TERNAT_REG,MOTO_MOP,MIO_VKM,NO	1371 e	1402 e	1463 e	1484 e	1508 e	1506 e	1504 e	: 	: 	: 
A,TOTAL,TERNAT_REG,MOTO_MOP,MIO_VKM,PL	4048 e	3840 e	3666 e	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,MOTO_MOP,MIO_VKM,RO	709 	745 	786 	789 	793 	796 	800 	804 	807 	811 
A,TOTAL,TERNAT_REG,MOTO_MOP,MIO_VKM,SI	: 	: 	244 p	218 	233 	235 p	241 	202 	210 b	202 p
A,TOTAL,TERNAT_REG,MOTO_MOP,MIO_VKM,UK	4328 	4459 	4463 	4463 	: 	: 	4786 	3949 	4073 	4566 
A,TOTAL,TERNAT_REG,RDMVEH_OTH,MIO_VKM,BE	394 b	400 	397 	411 	413 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,RDMVEH_OTH,MIO_VKM,HR	1727 	1660 	1830 	2030 	2290 	2570 	2860 	2610 	3170 	3450 
A,TOTAL,TERNAT_REG,RDMVEH_OTH,MIO_VKM,HU	157.290 e	158 e	168.370 e	172.110 e	180.860 e	186.620 e	196.700 e	177.150 	189.360 e	200.270 
A,TOTAL,TERNAT_REG,RDMVEH_OTH,MIO_VKM,IE	: 	: 	: 	867 	886 	857 	841 	639 	384 	913 
A,TOTAL,TERNAT_REG,RDMVEH_OTH,MIO_VKM,NL	454 	442 	437 	462 	465 	461 	460 	434 	468 	486 
A,TOTAL,TERNAT_REG,RDMVEH_OTH,MIO_VKM,NO	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,RDMVEH_OTH,MIO_VKM,PL	1044 	936 e	872 e	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,TOTAL,MIO_VKM,AT	78108 	80150 	82672 	85014 	86854 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,TOTAL,MIO_VKM,BE	97736 b	99193 	100311 	101668 	103175 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,TOTAL,MIO_VKM,CZ	47156 	48335 	53566 	52775 	52775 	52775 	52775 	51988.781 	53600.659 	58663.951 
A,TOTAL,TERNAT_REG,TOTAL,MIO_VKM,EE	: 	9471.600 e	9976 e	10387.300 e	10811.100 e	11197.100 e	11659.100 e	11251.300 	11568.200 	11696.100 
A,TOTAL,TERNAT_REG,TOTAL,MIO_VKM,ES	199323 	228121 	238774 	239353 	244661 	250192 	252055 	195687.388 	239946 	254459 
A,TOTAL,TERNAT_REG,TOTAL,MIO_VKM,FI	54170 	54580 	55145 	50361 b	51386 	51597 	51548 	49704 	49466 	48856 
A,TOTAL,TERNAT_REG,TOTAL,MIO_VKM,FR	587479 	595719 	603826 	613562 	638134.183 	639620.174 	645245.217 	531911.119 	577044.196 	629379.986 
A,TOTAL,TERNAT_REG,TOTAL,MIO_VKM,HR	20216 	20440 	21195 	21920 	22750 	23440 	24280 	19850 	23460 	24890 
A,TOTAL,TERNAT_REG,TOTAL,MIO_VKM,HU	35119.830 e	36771 e	38580.570 e	40451.330 e	43015.720 e	44796.460 e	46415.930 e	41012.560 	45846.970 e	48677.260 
A,TOTAL,TERNAT_REG,TOTAL,MIO_VKM,IE	41757 	42447 	45790 	47775 	48754 	47545 	47072 	36237 	41878 	47604 
A,TOTAL,TERNAT_REG,TOTAL,MIO_VKM,IT	: 	: 	: 	: 	83819 	84127 	84654 	61413 	75500 	83548 
A,TOTAL,TERNAT_REG,TOTAL,MIO_VKM,NL	131765 	132196 	134110 	137838 	139865 	140371 	140709 	124064 	123105 	135363 
A,TOTAL,TERNAT_REG,TOTAL,MIO_VKM,NO	45285 e	45140 e	44946 e	45466 e	46791 e	47506 e	47065 e	: 	46601 	46907 
A,TOTAL,TERNAT_REG,TOTAL,MIO_VKM,PL	212168 e	217671 e	222106 e	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,TOTAL,MIO_VKM,RO	47322 	49662 	52173 	53694 	55269 	56899 	58589 	60342 	62161 	64051 
A,TOTAL,TERNAT_REG,TOTAL,MIO_VKM,SI	: 	: 	20674 p	20605 	21346 	21886 p	22482 	17612 	19034 b	20508 p
A,TOTAL,TERNAT_REG,TOTAL,MIO_VKM,UK	488784 	500388 	509709 	509709 	: 	: 	573762 	451413 	478874 	521093 
A,TOTAL,TERNAT_REG,TRC,MIO_VKM,BE	4726 b	4826 	4890 	5007 	5262 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,TRC,MIO_VKM,BG	373.800 	364.200 	377.200 	407.500 	492.400 	446 	356.700 	454.500 	613.300 	557.300 
A,TOTAL,TERNAT_REG,TRC,MIO_VKM,ES	13605 	14434 	16289 	13850 	16823 	17489 	18103 	11778.657 	19703 	19220 
A,TOTAL,TERNAT_REG,TRC,MIO_VKM,FI	: 	: 	: 	: 	: 	534 	514 	517 	531 	539 
A,TOTAL,TERNAT_REG,TRC,MIO_VKM,HU	2274.130 e	2340 e	2570.570 e	2630.950 e	2820.530 e	2951.440 e	2987.440 e	2816.610 	3199.450 e	3243.890 
A,TOTAL,TERNAT_REG,TRC,MIO_VKM,IE	: 	: 	: 	1577 	1575 	1485 	1402 	1289 	1253 	1309 
A,TOTAL,TERNAT_REG,TRC,MIO_VKM,MK	493.400 	524.800 	545 	586 	577 	552 	561 	565.800 	611.900 	630.100 
A,TOTAL,TERNAT_REG,TRC,MIO_VKM,NL	4409 	4478 	4727 	5107 	5200 	5126 	5209 	5364 	5345 	5595 
A,TOTAL,TERNAT_REG,TRC,MIO_VKM,NO	594 e	617 e	634 e	641 e	653 e	681 e	694 e	: 	703 	717 
A,TOTAL,TERNAT_REG,TRC,MIO_VKM,PL	11543 	: 	20461 e	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REG,TRC,MIO_VKM,UK	13277 	13558 	14244 	14244 	: 	: 	15570 	15049 	16295 	16237 
A,TOTAL,TERNAT_REGNAT,BIKE,MIO_VKM,DK	3070 	3270 	3090 	3000 	2850 	2880 	2830 	2875 	2803 	3042 
A,TOTAL,TERNAT_REGNAT,BIKE,MIO_VKM,NO	943 e	1114 e	1128 e	1138 e	1145 e	1155 e	1580 e	: 	1606 	1629 
A,TOTAL,TERNAT_REGNAT,BIKE,MIO_VKM,PL	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,BUS_MCO_MIN,MIO_VKM,BE	134 e	155 	159 	135 	175 b	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,BUS_MCO_MIN,MIO_VKM,DK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,TOTAL,TERNAT_REGNAT,BUS_MCO_MIN,MIO_VKM,MT	25.730 e	28.350 e	31.480 e	26.860 e	30.660 e	36.360 e	36.570 e	24 	25.510 	32.130 
A,TOTAL,TERNAT_REGNAT,BUS_MCO_MIN,MIO_VKM,NO	151 e	143 e	135 e	126 e	124 e	125 e	117 e	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,BUS_MCO_MIN,MIO_VKM,SI	: 	: 	8 p	8 	7 	7 p	7 	4 	0 b	0 p
A,TOTAL,TERNAT_REGNAT,BUS_MCO_TRO,MIO_VKM,BE	573 	588 	598 	561 	578 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,BUS_MCO_TRO,MIO_VKM,BG	449 	439.900 	455.800 	485.900 	446.700 	524.100 	427.600 	320.200 	337.100 	326.800 
A,TOTAL,TERNAT_REGNAT,BUS_MCO_TRO,MIO_VKM,DK	567 	580 	607 	627 	648 	642 	630 	567 	624 	686 
A,TOTAL,TERNAT_REGNAT,BUS_MCO_TRO,MIO_VKM,FR	2952 	2987 	2999 	3060 	2952.018 	2999.066 	3051.004 	2291.922 	2722.795 	2992.360 
A,TOTAL,TERNAT_REGNAT,BUS_MCO_TRO,MIO_VKM,IE	299 	375 	313 	329 	361 	386 	392 	271 	260 	329 
A,TOTAL,TERNAT_REGNAT,BUS_MCO_TRO,MIO_VKM,LV	233.500 	231.300 	228.400 	231 	231.600 	225.400 	215.600 	177.100 	159.700 	169.900 
A,TOTAL,TERNAT_REGNAT,BUS_MCO_TRO,MIO_VKM,MT	51.810 e	64.010 e	73.970 e	72.090 e	71 e	81.930 e	81.440 e	64.300 	59.430 	72.900 
A,TOTAL,TERNAT_REGNAT,BUS_MCO_TRO,MIO_VKM,NL	619 	602 	603 	591 	635 	613 	595 	497 	476 	491 
A,TOTAL,TERNAT_REGNAT,BUS_MCO_TRO,MIO_VKM,NO	576 e	565 e	557 e	561 e	566 e	573 e	576 e	: 	498 	536 
A,TOTAL,TERNAT_REGNAT,BUS_MCO_TRO,MIO_VKM,PL	2011 e	1914 e	1851 e	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,BUS_MCO_TRO,MIO_VKM,PT	353 	346 	376.390 	398.460 	411.690 	441.030 	396.430 	: 	387.940 b	454.660 p
A,TOTAL,TERNAT_REGNAT,BUS_MCO_TRO,MIO_VKM,SI	: 	: 	117 p	118 	121 	123 p	126 	65 	81 b	93 p
A,TOTAL,TERNAT_REGNAT,BUS_MCO_TRO,MIO_VKM,UA	: 	: 	: 	2026 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,BUS_MCO_TRO,MIO_VKM,UK	4470 	4469 	4253 	4253 	: 	: 	3822 	2598 	: 	: 
A,TOTAL,TERNAT_REGNAT,BUS_TOT,MIO_VKM,BE	360 	358 	360 	359 	329 b	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,BUS_TOT,MIO_VKM,BG	: 	423.700 	440.600 	471.100 	432 	510 	413.500 	306.500 	322.600 	314.700 
A,TOTAL,TERNAT_REGNAT,BUS_TOT,MIO_VKM,LT	221.700 	227.800 	204.500 	210.900 	210.900 	206.400 	206.500 	171.700 	160.600 	190.300 
A,TOTAL,TERNAT_REGNAT,BUS_TOT,MIO_VKM,LV	221.400 	220.100 	217.900 	220.500 	221.200 	215.300 	205.700 	167 	150.400 	161.200 
A,TOTAL,TERNAT_REGNAT,BUS_TOT,MIO_VKM,MT	17.550 e	24.380 e	33.520 e	34.140 e	32.010 e	34.750 e	35.210 e	33 	29.260 	32.850 
A,TOTAL,TERNAT_REGNAT,BUS_TOT,MIO_VKM,NL	500 	482 	478 	461 	493 	469 	464 	445 	423 	401 
A,TOTAL,TERNAT_REGNAT,BUS_TOT,MIO_VKM,NO	342 e	332 e	327 e	339 e	343 e	353 e	363 e	: 	439 	454 
A,TOTAL,TERNAT_REGNAT,BUS_TOT,MIO_VKM,SI	: 	: 	18 p	18 	18 	18 p	18 	13 	17 b	18 p
A,TOTAL,TERNAT_REGNAT,BUS_TOT,MIO_VKM,UA	: 	: 	: 	2026 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,BUS_TRO,MIO_VKM,BE	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,BUS_TRO,MIO_VKM,BG	: 	16.200 	15.200 	14.800 	14.700 	14.100 	14.100 	13.700 	14.500 	: 
A,TOTAL,TERNAT_REGNAT,BUS_TRO,MIO_VKM,CY	: z	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,BUS_TRO,MIO_VKM,DK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,TOTAL,TERNAT_REGNAT,BUS_TRO,MIO_VKM,HR	: 	: 	: 	: 	: z	: z	: z	: z	: z	: z
A,TOTAL,TERNAT_REGNAT,BUS_TRO,MIO_VKM,LT	19.800 	19.400 	19.700 	19.700 	19.800 	19.400 	19.700 	18.100 	15 	16.900 
A,TOTAL,TERNAT_REGNAT,BUS_TRO,MIO_VKM,LV	12.100 	11.200 	10.500 	10.500 	10.400 	10.100 	9.900 	10.100 	9.300 	8.700 
A,TOTAL,TERNAT_REGNAT,BUS_TRO,MIO_VKM,MT	: 	: z	0 	0 	: z	: z	: 	: 	0 	: 
A,TOTAL,TERNAT_REGNAT,BUS_TRO,MIO_VKM,SI	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 
A,TOTAL,TERNAT_REGNAT,CAR,MIO_VKM,BE	74771 	74635 	75802 	75875 	73180 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,CAR,MIO_VKM,CH	47682 	48228 	48802 	49595 	50268 	50553 	50717 	43684 	45971 	47962 
A,TOTAL,TERNAT_REGNAT,CAR,MIO_VKM,DK	36042 	37263 	38604 	39858 	40569 	41223 	41882 	38704 	40313 	41221 
A,TOTAL,TERNAT_REGNAT,CAR,MIO_VKM,FR	431070 	438099 	445186 	452785 	468816.600 	466656.900 	469116.700 	382149 	414343.300 	455257 
A,TOTAL,TERNAT_REGNAT,CAR,MIO_VKM,IE	32904 	32324 	35874 	37488 	38039 	36817 	36300 	26654 	30677 	35583 
A,TOTAL,TERNAT_REGNAT,CAR,MIO_VKM,IT	437085 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,CAR,MIO_VKM,LT	16940 	12658.100 	13196.800 	14049.200 	16822.800 	17487 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,CAR,MIO_VKM,LV	8381.700 	9018.400 	9673.300 	9924.100 	10699.200 	10897.600 	11072 	10553.500 	9596.800 	9067.200 
A,TOTAL,TERNAT_REGNAT,CAR,MIO_VKM,MT	1899.650 e	2485.470 e	2556.520 e	2500.060 e	2333.170 e	2395.950 	2408.390 e	1878.600 	2290.310 	2321.010 
A,TOTAL,TERNAT_REGNAT,CAR,MIO_VKM,NL	98483 	98707 	99969 	102394 	103516 	103786 	103493 	89306 	92812 	97505 
A,TOTAL,TERNAT_REGNAT,CAR,MIO_VKM,NO	33592 e	33503 e	33981 e	34500 e	35053 e	35629 e	35149 e	: 	34747 	34957 
A,TOTAL,TERNAT_REGNAT,CAR,MIO_VKM,PL	161113 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,CAR,MIO_VKM,SI	: 	: 	16220 p	15849 	16448 	16828 p	17120 	14080 	14430 b	15718 p
A,TOTAL,TERNAT_REGNAT,CAR,MIO_VKM,UA	: 	: 	: 	3769 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,CAR,MIO_VKM,UK	385300 	392471 	397711 	397711 	: 	: 	447077 	336726 	: 	: 
A,TOTAL,TERNAT_REGNAT,LOR,MIO_VKM,BE	12072 	12288 	12554 	12946 	12618 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,LOR,MIO_VKM,BG	: 	595.600 	598.100 	556.300 	510.500 	456.500 	345.300 	422.800 	460 	387.600 
A,TOTAL,TERNAT_REGNAT,LOR,MIO_VKM,DK	8226 	8112 	8099 	8137 	8217 	8141 	7993 	7631 	7978 	8170 
A,TOTAL,TERNAT_REGNAT,LOR,MIO_VKM,ES	: 	20589 	23397 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,LOR,MIO_VKM,IE	6320 	6999 	7021 	7410 	7785 	7891 	8023 	7283 	8812 	9356 
A,TOTAL,TERNAT_REGNAT,LOR,MIO_VKM,LT	623.800 	610.400 	531.900 	561.100 	516.900 	525.900 	530.700 	520.900 	494.300 	375.700 
A,TOTAL,TERNAT_REGNAT,LOR,MIO_VKM,LV	2581.500 	1698.300 	1712.400 	1701.800 	1757.200 	1772.900 	1815.600 	1899.700 	1625.300 	1583.400 
A,TOTAL,TERNAT_REGNAT,LOR,MIO_VKM,MT	430.670 e	502.900 e	507.250 e	532.420 e	437.340 e	495.100 e	490.450 e	440.300 	479.480 	470.860 
A,TOTAL,TERNAT_REGNAT,LOR,MIO_VKM,NL	17729 	17647 	17920 	18379 	19022 	19206 	19614 	19275 	19944 	20243 
A,TOTAL,TERNAT_REGNAT,LOR,MIO_VKM,NO	9193 e	9119 e	8430 e	8404 e	8488 e	8587 e	8615 e	: 	8634 	8673 
A,TOTAL,TERNAT_REGNAT,LOR,MIO_VKM,PL	20226 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,LOR,MIO_VKM,SI	: 	: 	1418 p	1644 	1675 	1740 p	1952 	1780 	2211 b	2265 p
A,TOTAL,TERNAT_REGNAT,LOR,MIO_VKM,UA	: 	: 	: 	5719 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,LOR,MIO_VKM,UK	79962 	83954 	87239 	: 	: 	: 	100997 	91854 	: 	: 
A,TOTAL,TERNAT_REGNAT,LOR_GT3P5-6,MIO_VKM,LT	37 	16.800 	23.500 	24.400 	23.200 	15.500 	19.900 	37 	23.500 	16 
A,TOTAL,TERNAT_REGNAT,LOR_GT3P5-6,MIO_VKM,LV	104.900 	90.800 	82.900 	22.300 	25.100 	23.400 	21.400 	25.200 	15.700 	13.300 
A,TOTAL,TERNAT_REGNAT,LOR_GT3P5-6,MIO_VKM,MT	64.090 e	67.010 e	58.410 e	69.750 e	54.250 e	59.830 e	59.500 e	57.300 	60.100 	61.010 
A,TOTAL,TERNAT_REGNAT,LOR_GT3P5-6,MIO_VKM,NO	196 e	165 e	144 e	104 e	84 e	69 e	61 e	: 	51 	49 
A,TOTAL,TERNAT_REGNAT,LOR_GT3P5-6,MIO_VKM,PT	21 	16 	14.790 	8.700 	7.970 	15.640 	17.080 	15.080 e	12.350 	8.200 
A,TOTAL,TERNAT_REGNAT,LOR_GT6,MIO_VKM,BG	682.400 	595.600 	598.100 	556.300 	510.500 	456.500 	345.300 	422.800 	460 	387.600 
A,TOTAL,TERNAT_REGNAT,LOR_GT6,MIO_VKM,LT	256 	272.200 	239.700 	241.500 	252.100 	257.500 	284.500 	296.900 	263.200 	202.300 
A,TOTAL,TERNAT_REGNAT,LOR_GT6,MIO_VKM,LV	1424.400 	445 	410 	431.900 	451.400 	466.100 	456.800 	485.500 	412.200 	383.700 
A,TOTAL,TERNAT_REGNAT,LOR_GT6,MIO_VKM,MT	53.450 e	60.870 e	46.540 e	64.120 e	40.930 e	57.470 e	57.430 e	53.700 	53.700 	50.620 
A,TOTAL,TERNAT_REGNAT,LOR_GT6,MIO_VKM,NO	1929 e	1368 e	1347 e	1330 e	1345 e	1356 e	1374 e	: 	1326 	1350 
A,TOTAL,TERNAT_REGNAT,LOR_GT6,MIO_VKM,PT	702 	645 	676.670 	575.330 	543.850 	503.900 	495.550 	432.930 e	479.520 	433.996 
A,TOTAL,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,BE	9888 	10220 	10540 	11018 	10767 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,DK	7239 	7139 	7136 	7173 	7240 	7168 	7025 	6673 	6980 	7186 
A,TOTAL,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,ES	: 	6818 	7573 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,LT	330.800 	321.300 	268.800 	295.200 	241.500 	252.900 	226.300 	187 	207.600 	157.400 
A,TOTAL,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,LV	1052.200 	1162.500 	1219.500 	1247.600 	1280.700 	1283.400 	1337.400 	1389 	1195.400 	1186.400 
A,TOTAL,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,MT	313.120 e	375.020 e	402.070 e	407.980 e	342.150 e	379.790 e	379.050 e	329.300 	365.680 	359.240 
A,TOTAL,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,NL	15657 	15644 	15883 	16407 	16909 	17225 	17664 	17365 	18078 	18377 
A,TOTAL,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,NO	7068 e	7006 e	6939 e	6970 e	7059 e	7162 e	7180 e	: 	7257 	7274 
A,TOTAL,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,PL	12957 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,SI	: 	: 	1062 p	1273 	1287 	1351 p	1568 	1397 	1715 b	1776 p
A,TOTAL,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,UK	68304 	72087 	75141 	: 	: 	: 	88932 	80827 	: 	: 
A,TOTAL,TERNAT_REGNAT,MCO,MIO_VKM,BE	79 	75 	80 	68 	74 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,MCO,MIO_VKM,MT	8.520 e	11.280 e	8.980 e	11.100 e	8.330 e	10.820 e	9.660 e	7.300 	4.660 	7.910 
A,TOTAL,TERNAT_REGNAT,MCO,MIO_VKM,NL	119 	120 	125 	130 	142 	144 	132 	52 	53 	90 
A,TOTAL,TERNAT_REGNAT,MCO,MIO_VKM,NO	83 e	90 e	95 e	96 e	99 e	95 e	96 e	: 	59 	82 
A,TOTAL,TERNAT_REGNAT,MCO,MIO_VKM,SI	: 	: 	92 p	92 	96 	98 p	101 	48 	64 b	76 p
A,TOTAL,TERNAT_REGNAT,MOP,MIO_VKM,DK	68 	65 	63 	61 	59 	56 	49 	44 	41 	39 
A,TOTAL,TERNAT_REGNAT,MOP,MIO_VKM,IT	5711 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,MOP,MIO_VKM,LV	46.600 	44.400 	44 	44.500 	47.500 	45.900 	39.800 	44.200 	45.900 	37.700 
A,TOTAL,TERNAT_REGNAT,MOP,MIO_VKM,MT	: 	: 	: 	0.710 e	0.380 e	0.770 	1.640 e	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,MOP,MIO_VKM,NL	2285 	2313 	2348 	2406 	2496 	2522 	2552 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,MOP,MIO_VKM,NO	567 e	571 e	575 e	576 e	566 e	542 e	521 e	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,MOTO,MIO_VKM,DK	450 	453 	457 	465 	472 	479 	484 	491 	500 	504 
A,TOTAL,TERNAT_REGNAT,MOTO,MIO_VKM,IT	29424 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,MOTO,MIO_VKM,LT	277.500 	113.100 	143.200 	158 	204.800 	214.800 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,MOTO,MIO_VKM,LV	55.100 	51.800 	50 	50.400 	53.400 	61.300 	57.500 	66.500 	63.900 	55.700 
A,TOTAL,TERNAT_REGNAT,MOTO,MIO_VKM,MT	: 	: 	: 	88.650 e	87.950 e	89.330 	118.010 e	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,MOTO,MIO_VKM,NL	2210 	2166 	2127 	2136 	2153 	2167 	2210 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,MOTO,MIO_VKM,NO	796 e	823 e	879 e	899 e	933 e	954 e	973 e	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,MOTO_MOP,MIO_VKM,DK	518 	518 	520 	526 	531 	535 	533 	535 	541 	543 
A,TOTAL,TERNAT_REGNAT,MOTO_MOP,MIO_VKM,FR	11041 	11076 	11134 	11211 	11273 	11340 	11340 	9583 	9822 	11069.466 
A,TOTAL,TERNAT_REGNAT,MOTO_MOP,MIO_VKM,IE	103 	103 	102 	104 	108 	109 	114 	101 	111 	114 
A,TOTAL,TERNAT_REGNAT,MOTO_MOP,MIO_VKM,IT	35135 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,MOTO_MOP,MIO_VKM,LV	101.700 	96.200 	94 	94.900 	100.900 	107.200 	97.300 	110.700 	109.800 	93.400 
A,TOTAL,TERNAT_REGNAT,MOTO_MOP,MIO_VKM,MT	: 	: 	: 	89.360 e	88.330 e	90.110 	119.650 e	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,MOTO_MOP,MIO_VKM,NL	4495 	4479 	4475 	4542 	4649 	4689 	4762 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,MOTO_MOP,MIO_VKM,NO	1363 e	1395 e	1455 e	1475 e	1499 e	1496 e	1495 e	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,MOTO_MOP,MIO_VKM,PL	4048 e	3840 e	3666 e	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,MOTO_MOP,MIO_VKM,SI	: 	: 	227 p	200 	214 	217 p	222 	196 	197 b	191 p
A,TOTAL,TERNAT_REGNAT,RDMVEH_OTH,MIO_VKM,DK	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,TOTAL,TERNAT_REGNAT,RDMVEH_OTH,MIO_VKM,IE	787 	999 	881 	867 	886 	857 	841 	639 	384 	913 
A,TOTAL,TERNAT_REGNAT,RDMVEH_OTH,MIO_VKM,MT	26.890 e	40.510 e	40.760 e	35.270 e	29.360 e	40.800 e	40.110 e	34.600 	1.990 	33.520 
A,TOTAL,TERNAT_REGNAT,RDMVEH_OTH,MIO_VKM,NL	379 	370 	370 	385 	390 	385 	387 	364 	404 	421 
A,TOTAL,TERNAT_REGNAT,RDMVEH_OTH,MIO_VKM,NO	1371 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,RDMVEH_OTH,MIO_VKM,PL	1044 	936 e	: 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,TERNAT_REGNAT,TOTAL,MIO_VKM,BE	89780 	89973 	90945 	91135 	88143 	: 	: 	: 	: 	: 
