freq,mot_nrg,regisveh,vehicle,unit,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,OTH,TERNAT_REG,LOR_GT3P5-6,MIO_VKM,NO	46 e	35 e	28 e	15 e	11 e	9 e	6 e	: 	3 	3 
A,OTH,TERNAT_REG,LOR_GT6,MIO_VKM,AT	: 	: 	: 	1 	: 	: 	: 	: 	: 	: 
A,OTH,TERNAT_REG,LOR_GT6,MIO_VKM,NO	6 e	6 e	7 e	9 e	9 e	10 e	11 e	: 	17 	23 
A,OTH,TERNAT_REG,LOR_LE3P5,MIO_VKM,AT	13 	13 	16 	22 	26 	: 	: 	: 	: 	: 
A,OTH,TERNAT_REG,LOR_LE3P5,MIO_VKM,FI	: 	: 	: 	: 	: 	12 	17 	21 	29 	: 
A,OTH,TERNAT_REG,LOR_LE3P5,MIO_VKM,NL	265 	269 	275 	285 	321 	343 	387 	409 	472 	562 
A,OTH,TERNAT_REG,LOR_LE3P5,MIO_VKM,NO	8 e	17 e	14 e	24 e	36 e	53 e	71 e	: 	142 	226 
A,OTH,TERNAT_REGNAT,CAR,MIO_VKM,FR	3855 	4457 	5267 	6239 	7628.700 	9019.100 	10920.600 	11494.500 	19798.400 	32536.300 
A,OTH,TERNAT_REGNAT,CAR,MIO_VKM,IE	276 	278 	321 	377 	468 	610 	862 	850 	1400 	2326 
A,OTH,TERNAT_REGNAT,CAR,MIO_VKM,LT	2325 	1405.700 	1719.300 	1230.700 	1631.800 	1464 	: 	: 	: 	: 
A,OTH,TERNAT_REGNAT,CAR,MIO_VKM,LV	619.500 	854.600 	896.400 	841.100 	827.700 	765.500 	714 	640.200 	676.800 	502.200 
A,OTH,TERNAT_REGNAT,CAR,MIO_VKM,MT	4.240 e	173.250 e	9.240 e	19.480 e	20.940 e	34.970 	36.250 e	31.800 	74.920 	81.330 
A,OTH,TERNAT_REGNAT,CAR,MIO_VKM,NL	5245 	5834 	6261 	6993 	7327 	7441 	8096 	7732 	10676 	14921 
A,OTH,TERNAT_REGNAT,CAR,MIO_VKM,NO	118 e	312 e	803 e	2228 e	3429 e	5080 e	6461 e	: 	10255 	12683 
A,OTH,TERNAT_REGNAT,CAR,MIO_VKM,SI	: 	: 	192 p	225 	261 	295 p	327 	310 	405 b	616 p
A,OTH,TERNAT_REGNAT,CAR,MIO_VKM,UA	: 	: 	: 	386 	: 	: 	: 	: 	: 	: 
A,OTH,TERNAT_REGNAT,LOR_GT3P5-6,MIO_VKM,LT	0.700 	2.100 	0 	3.500 	2.800 	0 	0.200 	0.500 	0 	0 
A,OTH,TERNAT_REGNAT,LOR_GT3P5-6,MIO_VKM,LV	16.200 	6.900 	6.500 	1.800 	1.900 	2.400 	1.600 	2.900 	1.100 	0.400 
A,OTH,TERNAT_REGNAT,LOR_GT3P5-6,MIO_VKM,MT	0.140 e	0.200 e	0.210 e	0.220 e	0.020 e	0.170 e	0.160 e	0.200 	0.090 	0.080 
A,OTH,TERNAT_REGNAT,LOR_GT3P5-6,MIO_VKM,NO	43 e	33 e	26 e	14 e	10 e	8 e	6 e	: 	3 	3 
A,OTH,TERNAT_REGNAT,LOR_GT3P5-6,MIO_VKM,PT	2 	0 n	0.220 	0 	0 	0 	0 	: 	: 	: 
A,OTH,TERNAT_REGNAT,LOR_GT6,MIO_VKM,LT	2.200 	2.800 	1.400 	3.300 	0.300 	0 	0.100 	3.400 	0.500 	0.200 
A,OTH,TERNAT_REGNAT,LOR_GT6,MIO_VKM,LV	22.600 	11 	5.200 	9.100 	11.100 	8.500 	7.300 	12.700 	6.800 	7.100 
A,OTH,TERNAT_REGNAT,LOR_GT6,MIO_VKM,MT	0.080 e	0.310 e	0.110 e	0.330 e	0.270 e	0.200 e	0.290 e	0.600 	0.340 	0.290 
A,OTH,TERNAT_REGNAT,LOR_GT6,MIO_VKM,NO	6 e	6 e	7 e	8 e	8 e	9 e	10 e	: 	16 	22 
A,OTH,TERNAT_REGNAT,LOR_GT6,MIO_VKM,PT	33 	2 	8.330 	2.110 	2.670 	2.840 	1.980 	: 	: 	: 
A,OTH,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,LT	3.400 	2 	1.800 	0.900 	0 	0.100 	3 	0 	0 	0.400 
A,OTH,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,LV	24 	26.800 	26.200 	26.400 	22.800 	20.400 	18.900 	20.500 	15.400 	15.700 
A,OTH,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,MT	0.080 e	0.310 e	0.040 e	0.170 e	0.200 e	0.640 e	0.640 e	0.700 	1.070 	1.410 
A,OTH,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,NL	255 	258 	264 	273 	307 	329 	370 	392 	453 	539 
A,OTH,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,NO	8 e	17 e	14 e	24 e	36 e	52 e	70 e	: 	141 	224 
A,OTH,TERNAT_REGNAT,LOR_LE3P5,MIO_VKM,SI	: 	: 	7 p	9 	9 	11 p	11 	11 	13 b	15 p
A,OTH,TER_REGNAT,CAR,MIO_VKM,BE	421 	387 	385 	412 	366 	: 	: 	: 	: 	: 
A,OTH,TER_REGNAT,CAR,MIO_VKM,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	2006.298 e
A,OTH,TER_REGNAT,CAR,MIO_VKM,DE	10902 e	10913 e	10884 e	10557 e	11083 e	12627 e	14988 e	20246 e	33737 e	50975 e
A,OTH,TER_REGNAT,CAR,MIO_VKM,EE	: 	8211.900 	8476 	8670.200 	8876.100 	8924.100 	9397.200 	9263.300 	9393.400 	9705.400 
A,OTH,TER_REGNAT,CAR,MIO_VKM,FI	: 	: 	: 	: 	: 	388 	662 	1198 	1819 	38385 
A,OTH,TER_REGNAT,CAR,MIO_VKM,FR	2924.702 	2846.198 	2840.085 	2937.903 	2934.794 	3055.734 	3351.232 	3419.629 	5533.933 	9221.430 
A,OTH,TER_REGNAT,CAR,MIO_VKM,HR	: 	875 	939 	1014 	1016 	954 	793 	778 	877 	: 
A,OTH,TER_REGNAT,CAR,MIO_VKM,IE	275 	-9838 	319 	376 	467 	610 	862 	850 	1400 	2326 
A,OTH,TER_REGNAT,CAR,MIO_VKM,IS	: 	: 	: 	: 	19 	21 	37 	67 	: 	: 
A,OTH,TER_REGNAT,CAR,MIO_VKM,LT	2422.800 	1437.500 	1719.300 	1230.700 	1631.800 	1464 	: 	: 	: 	: 
A,OTH,TER_REGNAT,CAR,MIO_VKM,LV	619.500 	854.600 	896.400 	840.460 	843.860 	763.400 	711.800 	635.700 	671 	491.700 
A,OTH,TER_REGNAT,CAR,MIO_VKM,MK	3121.182 	3343.041 	3454.497 	3554.406 	3629.844 	3735.558 	3834.405 	3862.764 	4300.380 	4351.338 
A,OTH,TER_REGNAT,CAR,MIO_VKM,MT	1.630 e	4.990 e	7.360 e	13.530 e	18.820 e	22.410 e	24.300 e	23.100 	31.220 	29.254 
A,OTH,TER_REGNAT,CAR,MIO_VKM,NL	3454 	3644 	2882 	2651 	2405 	2070 	1836 	1439 	1338 	1354 
A,OTH,TER_REGNAT,CAR,MIO_VKM,NO	119 e	315 e	811 e	1167 e	1659 e	2409 e	3338 e	: 	5979 	8002 
A,OTH,TER_REGNAT,CAR,MIO_VKM,SE	4662 	4536 	4419 	4273 	4069 	3897 	3771 	3548.893 	3864.265 	4913.156 
A,OTH,TER_REGNAT,CAR,MIO_VKM,SI	: 	: 	173 p	192 	209 	213 p	207 	170 	191 	236 p
A,OTH,TER_REGNAT,CAR,MIO_VKM,TR	: 	: 	: 	: 	: 	57067 	55460 	53164.360 	55251.782 	: 
A,OTH,TER_REGNAT,CAR,MIO_VKM,UK	385300 	392471 	: 	397711 	: 	: 	447077 	336726 	: 	: 
A,OTH,TER_REGNAT,LOR_GT3P5-6,MIO_VKM,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.902 e
A,OTH,TER_REGNAT,LOR_GT3P5-6,MIO_VKM,FR	0.650 	0.879 	1.082 	0.864 	0.671 	2.031 	5.743 	7.702 	18.864 	28.615 
A,OTH,TER_REGNAT,LOR_GT3P5-6,MIO_VKM,LT	0.700 	2.100 	0 	3.400 	0 	0 	0.200 	0 	0 	0 
A,OTH,TER_REGNAT,LOR_GT3P5-6,MIO_VKM,LV	16.200 	6.900 	6.500 	1.800 	1.900 	2.400 	1.600 	2.900 	1.100 	0.400 
A,OTH,TER_REGNAT,LOR_GT3P5-6,MIO_VKM,MT	0.140 e	0.160 e	0.060 	0.200 e	0.060 e	0.180 e	0.130 e	0.200 	0.090 	0.078 
A,OTH,TER_REGNAT,LOR_GT3P5-6,MIO_VKM,NO	46 e	35 e	28 e	15 e	11 e	8 e	6 e	: 	4 	4 
A,OTH,TER_REGNAT,LOR_GT3P5-6,MIO_VKM,PT	2 	0 n	0.024 	0 	0 	0 	0 	: 	: 	: 
A,OTH,TER_REGNAT,LOR_GT3P5-6,MIO_VKM,SE	5 	6 	5 	4 	4 	4 	5 	4.389 	3.997 	4.156 
A,OTH,TER_REGNAT,LOR_GT6,MIO_VKM,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.284 e
A,OTH,TER_REGNAT,LOR_GT6,MIO_VKM,FR	6.905 	8.151 	9.315 	11.293 	17.543 	31.436 	47.610 	59.184 	82.705 	102.190 
A,OTH,TER_REGNAT,LOR_GT6,MIO_VKM,LT	2.200 	2.900 	1 	3.200 	79.500 	0 	0.100 	3.600 	1.400 	0 
A,OTH,TER_REGNAT,LOR_GT6,MIO_VKM,LV	22.600 	11 	5.200 	9.100 	11.100 	8.500 	7.300 	12.700 	6.800 	7.100 
A,OTH,TER_REGNAT,LOR_GT6,MIO_VKM,MT	0.080 e	0.160 e	0.080 	0.310 e	0.140 e	0.110 e	0.280 e	0.200 	0.340 	0.293 
A,OTH,TER_REGNAT,LOR_GT6,MIO_VKM,NO	6 e	6 e	7 e	8 e	8 e	10 e	11 e	: 	15 	23 
A,OTH,TER_REGNAT,LOR_GT6,MIO_VKM,PT	34 	3 	8.650 	2.110 	3.610 	2.970 	2.070 	: 	: 	: 
A,OTH,TER_REGNAT,LOR_GT6,MIO_VKM,SE	21 	29 	33 	47 	47 	45 	48 	53.066 	70.186 	97.591 
A,OTH,TER_REGNAT,LOR_LE3P5,MIO_VKM,BE	134 	145 	167 	188 	192 	: 	: 	: 	: 	: 
A,OTH,TER_REGNAT,LOR_LE3P5,MIO_VKM,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	253.657 e
A,OTH,TER_REGNAT,LOR_LE3P5,MIO_VKM,DE	284 e	296 e	296 e	309 e	292 e	292 e	299 e	317 e	434 e	545 e
A,OTH,TER_REGNAT,LOR_LE3P5,MIO_VKM,FI	: 	: 	: 	: 	: 	5693 	5726 	5667 	5777 	5598 
A,OTH,TER_REGNAT,LOR_LE3P5,MIO_VKM,FR	223.445 	246.938 	268.827 	299.276 	320.223 	355.403 	397.723 	400.891 	527.935 	644.066 
A,OTH,TER_REGNAT,LOR_LE3P5,MIO_VKM,IS	: 	: 	: 	: 	1 	2 	1 	0 	: 	: 
A,OTH,TER_REGNAT,LOR_LE3P5,MIO_VKM,LT	3.400 	2 	3.200 	1 	0 	0.200 	3 	-0.100 	0 	0.400 
A,OTH,TER_REGNAT,LOR_LE3P5,MIO_VKM,LV	24 	26.800 	26.200 	26.500 	22.900 	20.400 	18.900 	20.500 	15.400 	15.700 
A,OTH,TER_REGNAT,LOR_LE3P5,MIO_VKM,MT	0.070 e	0.330 e	0.040 	0.190 e	0.560 e	0.470 e	0.650 e	0.700 	1.070 	1.408 
A,OTH,TER_REGNAT,LOR_LE3P5,MIO_VKM,NL	265 	269 	275 	284 	320 	342 	387 	410 	473 	457 
A,OTH,TER_REGNAT,LOR_LE3P5,MIO_VKM,NO	7 e	17 e	37 e	24 e	36 e	53 e	70 e	: 	142 	227 
A,OTH,TER_REGNAT,LOR_LE3P5,MIO_VKM,SE	116 	118 	122 	126 	127 	131 	135 	156.067 	194.452 	232.674 
A,OTH,TER_REGNAT,LOR_LE3P5,MIO_VKM,SI	: 	: 	11 p	11 	13 	15 p	14 	15 	16 	17 p
A,OTH,TER_REGNAT,LOR_LE3P5,MIO_VKM,TR	: 	: 	: 	: 	: 	: 	: 	63539.844 	70621.155 	: 
A,OTH,TER_REGNAT,LOR_LE3P5,MIO_VKM,UK	68303 	72087 	: 	75141 	: 	: 	88932 	80827 	: 	: 
A,PET,TERNAT_REG,CAR,MIO_VKM,AT	25751 	26052 	21681 	21423 	21856 	: 	: 	: 	: 	: 
A,PET,TERNAT_REG,CAR,MIO_VKM,EE	4050 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,PET,TERNAT_REG,CAR,MIO_VKM,FI	: 	: 	: 	: 	23748 	23521 	23262 	22347 	21462 	: 
A,PET,TERNAT_REG,CAR,MIO_VKM,IE	17657 	15526 	15867 	15091 	13972 	12225 	10968 	7487 	8094 	9049 
A,PET,TERNAT_REG,CAR,MIO_VKM,NL	65531 	65757 	66412 	67883 	69285 	70645 	72134 	63784 	66257 	69335 
