freq,unit,expend,geo\TIME_PERIOD	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,INF_INV,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	346 	: 	307 	298 	300 	296 	368 	1431 	: 	: 	: 	: 	: 	548 	: 	: 
A,MIO_EUR,INF_INV,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	275.079 	351.621 	484.303 	484.354 	410.267 	461.499 	447.796 	349.473 	454.494 	: 
A,MIO_EUR,INF_INV,CH	: 	: 	: 	: 	: 	: 	1869 	2091 	1992 	2046 p	: 	: 	: 	: 	: 	: 	: 	: 	3580 d	3604 d	3764 d	3730.810 	3647.291 	4224.178 	3968.079 	3930.017 	3816.450 	4301.510 	4699.673 	: 	: 
A,MIO_EUR,INF_INV,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	84 	295 	275 	312 	432 	249 	54 	623 	568 	625 	577 	104.300 	97.600 	98.100 	103.900 	121.400 	124.600 	125.400 	136.800 	: 	: 
A,MIO_EUR,INF_INV,CZ	: 	4413 	4874 	6001 	7276 	7347 	7131 	7872 	7209 	9251 	86319 	84136 	94615 	104357 	15423 	16370 	15257 	15300 	16942 	14009 	14351 	647.691 	604.009 	885.553 	849.238 	984.232 	1044.617 	1383.054 	1640.937 	1817.629 	1942.929 
A,MIO_EUR,INF_INV,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4210 	3564 	3619 	4309 	5370 	6210 	6284 	6409 	6443 	7128 
A,MIO_EUR,INF_INV,DK	3595 d	3934 	3918 	4065 	4380 	3778 	4174 	4325 	4439 	4913 	4982 	: 	: 	: 	5230 	5428 	5309 	: 	: 	: 	: 	1046.944 	1101.572 	1086.382 	1099.500 	1065.658 	1083.964 	874.888 	1133.455 	973.511 	: 
A,MIO_EUR,INF_INV,EE	: 	: 	: 	6668 	914 	9626 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,INF_INV,FI	3912 	3848 	3889 	3561 	3125 	3352 	3264 	527 d	534 d	543 d	634 d	627 d	587 	600 	612 	611 	673 	684 	628 	658 	574 	282 	226 	278 	633 b	484 	574 	530 	445 	: 	: 
A,MIO_EUR,INF_INV,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12866 	10807 	10011 	9216 	9080 	9884 	10413 	9631 	10207 	10562 
